bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,DepthSum,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-MV_062.7.fa.gz,MV_062,NHM Vienna,Meles meles,male,,1937,Austria,,,MEGAHIT-MetaBAT2Refined-MV_062.7.fa.gz,bacteria_odb10,87.9,87.9,0.0,2.4,9.7,124,MEGAHIT-MetaBAT2Refined-MV_062.7.fa.gz,267,267,123,44,3,0,1690359,1690359,1252452,675041,89912,0,267,31970,1690359,38.09,8636,4924,63,127,0.0,0 + 0 part,13,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_062.7.fa.gz,o__Lactobacillales (UID355),490,333,183,17,313,3,0,0,0,93.72,0.55,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,87.9,11.0,0.87549,
MEGAHIT-MetaBAT2Refined-MV_062.8.fa.gz,MV_062,NHM Vienna,Meles meles,male,,1937,Austria,,,MEGAHIT-MetaBAT2Refined-MV_062.8.fa.gz,bacteria_odb10,91.9,91.9,0.0,5.6,2.5,124,MEGAHIT-MetaBAT2Refined-MV_062.8.fa.gz,398,398,242,127,17,1,3612882,3612882,3110707,2281921,604764,62573,398,62573,3612882,63.48,13156,7462,86,177,0.0,0 + 0 part,15,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_062.8.fa.gz,p__Proteobacteria (UID3887),1487,259,162,7,248,4,0,0,0,95.99,0.88,50.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__,,,,,,GCA_030528325.1,95.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia sp030528325,90.65,0.62,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_030532895.1; s__Lautropia sp030532895; 95.0; 83.27; 0.223,90.19,11.0,0.9944,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-MV_062.9.fa.gz,MV_062,NHM Vienna,Meles meles,male,,1937,Austria,,,MEGAHIT-MetaBAT2Refined-MV_062.9.fa.gz,bacteria_odb10,83.1,83.1,0.0,12.1,4.8,124,MEGAHIT-MetaBAT2Refined-MV_062.9.fa.gz,455,455,177,43,1,1,2357204,2357204,1548730,646513,52971,52971,455,52971,2357204,61.56,6442,4022,113,227,0.0,0 + 0 part,25,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_062.9.fa.gz,o__Burkholderiales (UID4000),193,427,214,34,380,13,0,0,0,90.83,4.79,61.54,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_030529505.1; s__Brachymonas sp030529505; 95.0; 88.44; 0.409; GCA_030529305.1; s__Brachymonas sp030529305; 95.0; 86.34; 0.351,84.85,11.0,0.9898,
MEGAHIT-MaxBin2Refined-MV_052.001.fa.gz,MV_052,NHM Vienna,Meles meles,male,,1994,Austria,,,MEGAHIT-MaxBin2Refined-MV_052.001.fa.gz,bacteria_odb10,88.7,86.3,2.4,7.3,4.0,124,MEGAHIT-MaxBin2Refined-MV_052.001.fa.gz,992,992,150,28,0,0,3088461,3088461,1197138,367453,0,0,992,20594,3088461,34.91,4057,2231,229,485,0.0,1 + 0 part,40,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MV_052.001.fa.gz,p__Bacteroidetes (UID2605),350,316,210,11,294,11,0,0,0,95.48,3.52,9.09,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__,,,,,,GCF_000379185.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga cynodegmi,91.34,0.651,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_002302635.1; s__Capnocytophaga stomatis; 95.0; 86.14; 0.295; GCF_009684755.1; s__Capnocytophaga felis; 95.0; 85.6; 0.262,89.47,11.0,0.99308,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-MV_052.11_sub.fa.gz,MV_052,NHM Vienna,Meles meles,male,,1994,Austria,,,MEGAHIT-MetaBAT2Refined-MV_052.11_sub.fa.gz,bacteria_odb10,83.9,83.9,0.0,4.8,11.3,124,MEGAHIT-MetaBAT2Refined-MV_052.11_sub.fa.gz,342,342,120,23,0,0,1624709,1624709,985152,306722,0,0,342,24517,1624709,38.04,5994,3782,88,174,0.0,0 + 0 part,14,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_052.11_sub.fa.gz,o__Lactobacillales (UID355),490,333,183,33,294,6,0,0,0,91.11,1.3,33.33,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,86.47,11.0,0.87553,
MEGAHIT-MetaBAT2Refined-MV_052.12.fa.gz,MV_052,NHM Vienna,Meles meles,male,,1994,Austria,,,MEGAHIT-MetaBAT2Refined-MV_052.12.fa.gz,bacteria_odb10,84.7,83.1,1.6,8.9,6.4,124,MEGAHIT-MetaBAT2Refined-MV_052.12.fa.gz,301,301,160,71,7,0,2253498,2253498,1828366,1169859,241792,0,301,41139,2253498,58.55,10610,6245,67,136,0.0,0 + 0 part,18,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_052.12.fa.gz,k__Bacteria (UID1453),901,171,117,10,153,8,0,0,0,94.49,3.3,25.0,d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,84.45,11.0,0.78534,
MEGAHIT-MetaBAT2Refined-MV_052.13.fa.gz,MV_052,NHM Vienna,Meles meles,male,,1994,Austria,,,MEGAHIT-MetaBAT2Refined-MV_052.13.fa.gz,bacteria_odb10,82.3,82.3,0.0,10.5,7.2,124,MEGAHIT-MetaBAT2Refined-MV_052.13.fa.gz,408,408,222,78,1,0,2636504,2636504,2055214,1050088,25916,0,408,25916,2636504,60.48,8415,5329,108,207,0.0,0 + 0 part,26,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_052.13.fa.gz,o__Actinomycetales (UID1809),267,400,222,29,366,5,0,0,0,93.73,1.16,60.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,GCF_030532715.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp030532715,82.46,0.167,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_030408595.1; s__Corynebacterium canis; 95.0; 83.64; 0.228,84.53,11.0,0.98939,
MEGAHIT-MaxBin2Refined-DM_013.004.fa.gz,DM_013,Adametz collection,Sus scrofa domesticus,,,<1940,Poland?,,,MEGAHIT-MaxBin2Refined-DM_013.004.fa.gz,bacteria_odb10,84.7,83.1,1.6,8.1,7.2,124,MEGAHIT-MaxBin2Refined-DM_013.004.fa.gz,360,360,153,58,5,0,2160204,2160204,1563432,879897,178764,0,360,49418,2160204,55.21,8798,4688,80,165,0.0,0 + 0 part,15,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-DM_013.004.fa.gz,f__Porphyromonadaceae (UID2622),35,475,318,12,453,10,0,0,0,97.6,1.58,50.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,90.69,11.0,0.94694,
MEGAHIT-MetaBAT2Refined-DM_013.14.fa.gz,DM_013,Adametz collection,Sus scrofa domesticus,,,<1940,Poland?,,,MEGAHIT-MetaBAT2Refined-DM_013.14.fa.gz,bacteria_odb10,87.9,87.1,0.8,5.6,6.5,124,MEGAHIT-MetaBAT2Refined-DM_013.14.fa.gz,442,442,124,30,0,0,1955252,1955252,1045611,392517,0,0,442,22642,1955252,39.18,5472,3311,112,228,0.0,1 + 0 part,25,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_013.14.fa.gz,k__Bacteria (UID2569),434,278,186,19,256,3,0,0,0,90.59,0.9,33.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,,,,,,GCA_000768855.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__F0058 sp000768855,87.18,0.416,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,,87.15,11.0,0.98785,
MEGAHIT-MetaBAT2Refined-DM_013.6.fa.gz,DM_013,Adametz collection,Sus scrofa domesticus,,,<1940,Poland?,,,MEGAHIT-MetaBAT2Refined-DM_013.6.fa.gz,bacteria_odb10,86.3,86.3,0.0,10.5,3.2,124,MEGAHIT-MetaBAT2Refined-DM_013.6.fa.gz,226,226,133,62,9,1,1890255,1890255,1609132,1092723,309448,69546,226,69546,1890255,44.17,11529,7128,49,101,0.0,0 + 0 part,35,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_013.6.fa.gz,o__Lactobacillales (UID544),293,475,267,31,430,14,0,0,0,94.31,3.48,57.14,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oriscaviae,GCF_018137985.1,95.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oriscaviae,98.35,0.882,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-MV_059.001.fa.gz,MV_059,NHM Vienna,Meles meles,male,,1934,Austria,,,MEGAHIT-MaxBin2Refined-MV_059.001.fa.gz,bacteria_odb10,91.1,89.5,1.6,6.5,2.4,124,MEGAHIT-MaxBin2Refined-MV_059.001.fa.gz,374,374,208,95,15,1,2969224,2969224,2505592,1685895,490059,59065,374,59065,2969224,59.98,11300,6689,77,161,0.0,2 + 0 part,102,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MV_059.001.fa.gz,o__Actinomycetales (UID1809),267,400,222,6,379,15,0,0,0,97.82,3.0,13.33,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,GCF_030532715.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp030532715,81.77,0.18,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_030408595.1; s__Corynebacterium canis; 95.0; 82.49; 0.226,93.25,11.0,0.98928,
MEGAHIT-MetaBAT2Refined-MV_059.24.fa.gz,MV_059,NHM Vienna,Meles meles,male,,1934,Austria,,,MEGAHIT-MetaBAT2Refined-MV_059.24.fa.gz,bacteria_odb10,91.9,91.9,0.0,4.0,4.1,124,MEGAHIT-MetaBAT2Refined-MV_059.24.fa.gz,231,231,125,61,7,0,1775919,1775919,1444055,1000092,221467,0,231,40319,1775919,37.97,11591,6165,51,105,0.0,0 + 0 part,67,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_059.24.fa.gz,o__Lactobacillales (UID355),490,333,183,9,319,5,0,0,0,96.4,1.37,20.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,89.87,11.0,0.87529,
MEGAHIT-MaxBin2Refined-RM_118.001.fa.gz,RM_118,RMCA,Equus burchellii,?,pd4,1936,Rwanda,,,MEGAHIT-MaxBin2Refined-RM_118.001.fa.gz,bacteria_odb10,99.2,98.4,0.8,0.8,0.0,124,MEGAHIT-MaxBin2Refined-RM_118.001.fa.gz,210,210,124,72,20,6,2315494,2315494,2091419,1717714,890054,360675,210,71970,2315494,39.76,19112,9933,33,74,0.0,1 + 2 part,133,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_118.001.fa.gz,o__Lactobacillales (UID544),293,475,267,0,468,7,0,0,0,100.0,1.51,71.43,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,,,,,,GCF_001431045.1,95.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus orisasini,93.36,0.773,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_001937065.1; s__Streptococcus sp001937065; 95.0; 87.35; 0.54; GCF_000286075.1; s__Streptococcus ratti; 95.0; 85.05; 0.43; GCF_000423725.1; s__Streptococcus devriesei; 95.0; 84.1; 0.373,97.3,11.0,0.99835,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MaxBin2Refined-RM_118.002.fa.gz,RM_118,RMCA,Equus burchellii,?,pd4,1936,Rwanda,,,MEGAHIT-MaxBin2Refined-RM_118.002.fa.gz,bacteria_odb10,98.4,98.4,0.0,1.6,0.0,124,MEGAHIT-MaxBin2Refined-RM_118.002.fa.gz,52,52,37,35,29,19,2690210,2690210,2664917,2649263,2537709,2211985,52,324673,2690210,70.04,110124,69371,9,16,0.0,0 + 1 part,85,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_118.002.fa.gz,f__Actinomycetaceae (UID1531),42,420,211,0,419,1,0,0,0,100.0,0.47,0.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,,,,,,GCF_000220835.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835,81.24,0.225,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_000711965.1; s__Actinomyces israelii; 95.0; 81.88; 0.216; GCF_000429265.1; s__Actinomyces gerencseriae; 95.0; 81.1; 0.168,96.46,11.0,0.97834,
MEGAHIT-MetaBAT2Refined-RM_118.1.fa.gz,RM_118,RMCA,Equus burchellii,?,pd4,1936,Rwanda,,,MEGAHIT-MetaBAT2Refined-RM_118.1.fa.gz,bacteria_odb10,79.0,79.0,0.0,9.7,11.3,124,MEGAHIT-MetaBAT2Refined-RM_118.1.fa.gz,512,512,164,43,2,0,2494627,2494627,1463760,631515,70833,0,512,39093,2494627,43.78,5896,3675,124,260,0.0,1 + 0 part,16,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_118.1.fa.gz,f__Moraxellaceae (UID4680),86,689,365,76,596,17,0,0,0,91.34,3.09,82.35,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pseudolwoffii,GCF_002803605.1,95.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pseudolwoffii,97.83,0.874,,,,,,,ani_screen,classification based on ANI only,GCF_014837015.1; s__Acinetobacter pecorum; 95.0; 88.49; 0.577; GCA_013530545.1; s__Acinetobacter lwoffii_G; 96.18; 89.99; 0.622; GCF_015602705.1; s__Acinetobacter lwoffii_E; 95.69; 89.67; 0.664; GCF_024129595.1; s__Acinetobacter lwoffii_O; 96.45; 89.47; 0.666; GCF_024129855.1; s__Acinetobacter lwoffii_L; 96.51; 89.32; 0.67; GCF_019048525.1; s__Acinetobacter lwoffii_K; 96.35; 89.56; 0.677; GCF_024129435.1; s__Acinetobacter lwoffii_F; 96.07; 89.32; 0.664; GCF_019038395.1; s__Acinetobacter sp019038395; 95.0; 89.46; 0.628; GCF_019343495.1; s__Acinetobacter lwoffii_P; 96.33; 89.37; 0.683; GCF_022809915.1; s__Acinetobacter lwoffii_M; 96.22; 89.31; 0.675; GCF_022967985.1; s__Acinetobacter sp002367455; 96.56; 89.32; 0.667; GCF_024129735.1; s__Acinetobacter lwoffii_H; 96.17; 89.38; 0.658; GCF_014769185.1; s__Acinetobacter lwoffii_D; 96.38; 89.67; 0.686; GCF_002321025.1; s__Acinetobacter lwoffii_J; 95.0; 89.67; 0.672; GCF_029024105.1; s__Acinetobacter lwoffii; 96.35; 89.31; 0.663; GCF_024129355.1; s__Acinetobacter lwoffii_I; 96.07; 89.56; 0.671; GCA_000761495.1; s__Acinetobacter idrijaensis; 95.91; 91.0; 0.681; GCA_002332985.1; s__Acinetobacter lwoffii_N; 96.55; 89.99; 0.649; GCF_013417155.1; s__Acinetobacter sp013417155; 96.33; 90.93; 0.679; GCF_011058205.1; s__Acinetobacter.fa.gzsciculus; 96.28; 89.52; 0.662,,,,
MEGAHIT-MetaBAT2Refined-RM_085.3.fa.gz,RM_085,RMCA,Piliocolobus foai,male,M3,1979,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_085.3.fa.gz,bacteria_odb10,81.4,79.0,2.4,7.3,11.3,124,MEGAHIT-MetaBAT2Refined-RM_085.3.fa.gz,249,249,131,67,7,0,1974525,1974525,1632963,1174415,248440,0,249,45969,1974525,38.29,11816,6689,51,105,0.0,1 + 0 part,24,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_085.3.fa.gz,g__Streptococcus (UID559),118,610,282,30,561,19,0,0,0,96.06,3.91,15.79,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_023167545.1; s__Streptococcus constellatus; 95.0; 90.49; 0.648; GCF_902167705.1; s__Streptococcus constellatus_A; 95.0; 89.62; 0.592; GCF_900636475.1; s__Streptococcus anginosus; 95.0; 88.65; 0.541; GCA_021184285.1; s__Streptococcus vaginalis; 95.0; 88.25; 0.518; GCF_014287335.1; s__Streptococcus hominis; 95.0; 88.12; 0.56; GCF_000413475.1; s__Streptococcus intermedius; 95.0; 86.81; 0.475,84.19,11.0,0.99043,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MaxBin2Refined-RM_205.001.fa.gz,RM_205,RMCA,Okapia johnstoni,male,M3,<1923,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_205.001.fa.gz,bacteria_odb10,98.4,98.4,0.0,1.6,0.0,124,MEGAHIT-MaxBin2Refined-RM_205.001.fa.gz,212,212,123,78,33,11,2848835,2848835,2634014,2289006,1524411,747948,212,129706,2848835,48.24,27564,13146,30,65,0.0,2 + 2 part,65,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_205.001.fa.gz,c__Gammaproteobacteria (UID4387),965,277,177,1,276,0,0,0,0,99.96,0.0,0.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Mesocricetibacter;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Mesocricetibacter;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,97.74,11.0,0.95548,
MEGAHIT-MaxBin2Refined-RM_205.002.fa.gz,RM_205,RMCA,Okapia johnstoni,male,M3,<1923,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_205.002.fa.gz,bacteria_odb10,96.8,96.8,0.0,0.8,2.4,124,MEGAHIT-MaxBin2Refined-RM_205.002.fa.gz,487,487,174,52,1,0,2342061,2342061,1539907,729676,29481,0,487,29481,2342061,37.83,6417,3994,108,223,0.0,0 + 0 part,23,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_205.002.fa.gz,o__Lactobacillales (UID544),293,475,267,9,466,0,0,0,0,97.74,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus,GCF_002000985.1,96.3,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus,98.73,0.85,,,,,,,ani_screen,classification based on ANI only,GCF_016461705.1; s__Streptococcus vicugnae; 95.0; 86.54; 0.372; GCF_000154985.1; s__Streptococcus i.fa.gzntarius; 95.0; 86.27; 0.34; GCF_934196125.1; s__Streptococcus sp934196125; 95.0; 96.31; 0.723; GCF_004843545.1; s__Streptococcus pasteurianus; 95.21; 96.42; 0.701; GCA_000283635.1; s__Streptococcus macedonicus; 95.18; 96.42; 0.707; GCF_003337175.1; s__Streptococcus gallolyticus_B; 95.0; 95.65; 0.664,,,,
MEGAHIT-MetaBAT2Refined-RM_205.3.fa.gz,RM_205,RMCA,Okapia johnstoni,male,M3,<1923,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_205.3.fa.gz,bacteria_odb10,93.5,91.9,1.6,2.4,4.1,124,MEGAHIT-MetaBAT2Refined-RM_205.3.fa.gz,348,348,210,101,9,1,2912053,2912053,2486563,1724688,349844,63254,348,63254,2912053,68.67,11698,6796,77,159,0.0,0 + 0 part,22,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_205.3.fa.gz,o__Actinomycetales (UID1530),622,258,152,5,248,5,0,0,0,97.81,2.04,20.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,,,,,,GCF_900289195.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium ruminifibrarum,94.62,0.784,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_003666605.1; s__Propionibacterium australiense; 95.0; 90.26; 0.69; GCF_000426605.1; s__Propionibacterium acid.fa.gzciens; 95.0; 85.56; 0.366,92.97,11.0,0.99693,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
